hash;repo_name;author;date;extension;additions;deletions
b1b7450b950074bd3a02cde85664d56541d0e12a;lets-plot;Ivan Kupriyanov;Tue Nov 12 18:13:12 2024 +0100;kt;1;1
eb2e5255596b95ac201bc663f0db23f9eab76d1f;lets-plot;Ivan Kupriyanov;Tue Nov 12 17:47:41 2024 +0100;kt;1126;481
eb2e5255596b95ac201bc663f0db23f9eab76d1f;lets-plot;Ivan Kupriyanov;Tue Nov 12 17:47:41 2024 +0100;md;4;0
47f82e5c7f45743d407b37a7f4442b9f7e0dd69f;lets-plot;Igor Alshannikov;Mon Nov 4 16:34:23 2024 -0500;kt;4;13
6d95b8b7a61c87fed8f91ddc1c0f002bfcfbb3a0;lets-plot;Igor Alshannikov;Mon Nov 4 16:21:45 2024 -0500;kt;20;31
6d95b8b7a61c87fed8f91ddc1c0f002bfcfbb3a0;lets-plot;Igor Alshannikov;Mon Nov 4 16:21:45 2024 -0500;md;3;2
eed5a635c4fdcdd64536df34cad3197a7f73c2db;lets-plot;Ivan Kupriyanov;Tue Oct 29 18:21:53 2024 +0100;kt;151;121
cbb07b9b0d21760fe894b8c6552876d379050ca3;lets-plot;Ivan Kupriyanov;Mon Oct 28 15:06:09 2024 +0100;kt;488;177
cbb07b9b0d21760fe894b8c6552876d379050ca3;lets-plot;Ivan Kupriyanov;Mon Oct 28 15:06:09 2024 +0100;properties;1;1
c8db300544974ddd35a82a90072772b788600ac6;lets-plot;Igor Alshannikov;Fri Oct 25 14:39:39 2024 -0400;ipynb;9;20
c8db300544974ddd35a82a90072772b788600ac6;lets-plot;Igor Alshannikov;Fri Oct 25 14:39:39 2024 -0400;yml;1;1
889df6754b7fef2f3d030be5957ad64db26520f1;lets-plot;Valentin Dovidaytis;Fri Oct 25 17:28:07 2024 +0200;kts;1;1
889df6754b7fef2f3d030be5957ad64db26520f1;lets-plot;Valentin Dovidaytis;Fri Oct 25 17:28:07 2024 +0200;py;1;1
55105aaf81cb6f30c7612714110023aa4a8b6c71;lets-plot;Valentin Dovidaytis;Fri Oct 25 17:25:38 2024 +0200;md;16;9
55105aaf81cb6f30c7612714110023aa4a8b6c71;lets-plot;Valentin Dovidaytis;Fri Oct 25 17:25:38 2024 +0200;js;1;1
55105aaf81cb6f30c7612714110023aa4a8b6c71;lets-plot;Valentin Dovidaytis;Fri Oct 25 17:25:38 2024 +0200;kts;1;1
