number;state;author;title;created_at;closed;closed_at
525;CLOSED;Artem Smirnov;Labels out of plot when axis_text_y='blank';2022-03-21T16:33:31Z;true;2022-04-01T18:04:24Z
515;CLOSED;Olga Larionova;The axis tooltip overlaps the general tooltip;2022-02-17T11:28:36Z;true;2022-02-17T11:40:47Z
513;CLOSED;Stanislav Poslavsky;geomText with facetWrap breaks y axis limits (bug?);2022-02-15T13:44:30Z;true;2022-03-30T15:57:27Z
507;CLOSED;Carter Jernigan;scaleColorManual swaps labels if dataframe contains single label;2022-01-28T15:38:02Z;true;2022-09-28T19:40:14Z
506;CLOSED;Carter Jernigan;`scaleColorManual` Divide by Zero with 1 mapping;2022-01-28T15:13:14Z;true;2022-03-30T15:39:12Z
505;CLOSED;Eric Larson;No 3.10 wheel;2022-01-26T21:36:07Z;true;2022-06-24T15:32:23Z
504;CLOSED;Stanislav Poslavsky;n-color gradient for `scaleColorGradient`;2022-01-25T12:40:24Z;true;2022-06-07T17:33:18Z
501;CLOSED;Stanislav Poslavsky;Multiple color/fill scales;2022-01-15T14:30:04Z;true;2022-01-25T12:19:36Z
498;CLOSED;Stanislav Poslavsky;Feature request: geom_dotplot;2022-01-06T23:08:07Z;true;2022-03-30T16:00:45Z
497;CLOSED;Kiryl Bubovich; CVE-2021-23792 in org.jetbrains.lets-plot:lets-plot-image-export@2.2.1;2022-01-06T07:35:02Z;true;2022-01-10T20:38:44Z
496;CLOSED;Igor Alshannikov;LiveMap, Swing-batik: legend is not visible when overlapping map.;2021-12-30T20:46:17Z;true;2022-01-11T18:21:25Z
495;CLOSED;Igor Alshannikov;Provide a way to set a default theme.;2021-12-28T20:57:04Z;true;2022-04-10T11:22:14Z
494;OPEN;Igor Alshannikov;scaleXTime: labels on axis are not legible on large time delta values.;2021-12-14T18:42:52Z;false;
492;CLOSED;Sergei Bulgakov;Non-deterministic IDs for `clip-path` cause different svg outputs for the same input data;2021-12-10T17:35:48Z;true;2022-06-28T00:26:19Z
489;CLOSED;Xie Zejian;Different behavior between ggplot and letsplot in aes;2021-12-05T17:23:37Z;true;2021-12-07T16:04:33Z
488;CLOSED;Alexander Gusakov;Auto width API;2021-12-03T15:31:57Z;true;2022-03-30T16:06:03Z
486;CLOSED;Ivan Kupriyanov;Can't set None for coord limit;2021-11-30T16:05:47Z;true;2024-02-17T01:38:12Z
485;CLOSED;Vladimir Sitnikov;Is there a way to customize plot background (all the background) in JVM?;2021-11-27T17:34:30Z;true;2022-03-30T17:12:23Z
484;OPEN;Olga Larionova;The tooltip format with `{}` in the pattern ignores the default formatting;2021-11-26T12:04:10Z;false;
481;CLOSED;Olga Larionova;The tooltip dependence on number of factors works separately by layers;2021-11-25T12:30:06Z;true;2021-11-25T12:34:53Z
479;CLOSED;Holger Brandl;facetWrap should support scales argument;2021-11-20T15:29:59Z;true;2022-03-30T16:03:05Z
478;CLOSED;Igor Alshannikov;coord_fixed should adjust dimensions of "geom" panel accordingly.;2021-11-17T00:16:16Z;true;2021-11-24T01:38:04Z
476;CLOSED;qj;“liblets_plot_python_extension_api.h”: No such file or directory;2021-11-14T01:59:18Z;true;2021-11-16T08:32:45Z
474;CLOSED;Igor Alshannikov;Coord system limits do not work with x/y scale with transform.;2021-11-09T20:55:03Z;true;2021-11-10T01:55:24Z
472;CLOSED;Vladimir Sitnikov;Please bundle LICENSE file to the published jar artifacts;2021-11-07T10:53:08Z;true;2021-12-14T16:49:47Z
471;CLOSED;Vladimir Sitnikov;Is kotlin-reflect really needed for lets-plot?;2021-11-02T15:38:55Z;true;2021-11-11T12:24:58Z
470;CLOSED;Vladimir Sitnikov;Select better labels for datatime axis;2021-10-31T17:05:17Z;true;2021-12-27T23:21:33Z
469;CLOSED;Vladimir Sitnikov;Provide 0-23 hour formatting;2021-10-31T17:02:25Z;true;2021-11-12T14:20:11Z
468;CLOSED;Vladimir Sitnikov;Provide scaleXTimeOffset for relative duration axis;2021-10-31T16:56:00Z;true;2021-12-13T11:48:34Z
456;CLOSED;;Not working in windows cmd prompt;2021-10-11T03:09:14Z;true;2021-10-19T01:16:14Z
454;CLOSED;Essi Parent;Ordering facets;2021-10-06T12:53:10Z;true;2021-10-21T21:07:46Z
453;CLOSED;Stanislav Poslavsky;Heatmap: geomTile() + coordFixed() strange result;2021-10-05T23:38:17Z;true;2021-12-15T22:20:59Z
452;CLOSED;Stanislav Poslavsky;Feature request: coord_polar;2021-10-01T22:58:40Z;true;2024-03-16T00:53:27Z
451;CLOSED;Essi Parent;Add scales argument to facet_grid and facet_wrap;2021-09-29T20:29:59Z;true;2022-03-30T16:05:28Z
450;CLOSED;Ivan Kupriyanov;Map rendering is broken when browser uses scaling;2021-09-29T19:34:25Z;true;2021-09-29T19:39:09Z
439;CLOSED;Robin Northcott;Not working with PyCharm, fails to send plot 500 Error;2021-09-16T22:41:27Z;true;2021-09-21T02:06:22Z
438;CLOSED;Robin Northcott;can't install with Pipenv - dependencies cannot be resolved;2021-09-16T21:55:25Z;true;2021-09-20T14:01:17Z
430;CLOSED;Ivan Kupriyanov;Unreadable breaks on axis;2021-09-07T14:56:44Z;true;2021-09-24T20:23:45Z
429;CLOSED;;not working in Jupyter Notebook ;2021-09-04T10:36:53Z;true;2021-10-11T05:34:03Z
428;CLOSED;Ivan Kupriyanov;map_join doesn't work when join variables with same names without mappings;2021-09-02T18:01:36Z;true;2021-09-02T18:07:36Z
424;OPEN;Igor Alshannikov;Nice to have behavior similar to "patchwork" in R;2021-08-30T16:20:02Z;false;
423;CLOSED;;Pie chart in python;2021-08-24T20:50:58Z;true;2022-12-15T22:14:30Z
417;CLOSED;Igor Alshannikov;Add Subtitle, Caption;2021-08-08T00:57:52Z;true;2022-03-30T15:51:37Z
415;CLOSED;Ivan Kupriyanov;Increase saturation of a tooltip text color;2021-08-03T18:41:33Z;true;2022-03-30T15:48:24Z
412;CLOSED;Igor Alshannikov;geom_jitter: show axis tooltips (same as geom_point) ;2021-07-28T18:17:53Z;true;2021-08-04T09:19:57Z
410;OPEN;Igor Alshannikov;Support the 'reverse' param in guide_legend(), guide_colorbar();2021-07-27T22:19:01Z;false;
407;CLOSED;Igor Alshannikov;Scale breaks should be distributed evenly on 'sqrt' scale.;2021-07-20T17:38:38Z;true;2021-07-20T18:57:51Z
406;CLOSED;Igor Alshannikov;Wrong tooltip formatting when used with log10 scales;2021-07-20T17:33:23Z;true;2021-07-22T20:38:01Z
405;OPEN;Igor Alshannikov;Support 'coord_trans';2021-07-16T19:12:27Z;false;
403;CLOSED;Ivan Kupriyanov;Plot layout looks wrong;2021-07-14T20:25:29Z;true;2021-07-23T22:03:59Z
